Index,Country,Country code,Type,Parent code,"1,950.00","1,951.00","1,952.00",1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
228,Tuvalu,798,Country/Area,957,4.68,4.78,4.87,4.94,5.01,5.07,5.14,5.19,5.24,5.29,5.32,5.33,5.34,5.34,5.35,5.39,5.44,5.51,5.60,5.67,5.74,5.77,5.79,5.82,5.90,6.06,6.32,6.65,7.02,7.36,7.63,7.83,7.95,8.04,8.11,8.21,8.34,8.48,8.64,8.79,8.91,9.01,9.11,9.19,9.26,9.30,9.32,9.33,9.33,9.34,9.39,9.48,9.59,9.72,9.87,10.00,10.12,10.22,10.32,10.41,10.52,10.63,10.74,10.85,10.97,11.10,11.23,11.37,11.51,11.66,11.79
229,Wallis and Futuna Islands,876,Country/Area,957,6.99,7.13,7.27,7.42,7.55,7.67,7.78,7.87,7.96,8.06,8.15,8.28,8.40,8.53,8.63,8.71,8.77,8.81,8.82,8.84,8.86,8.89,8.92,9.00,9.13,9.32,9.59,9.92,10.31,10.75,11.23,11.75,12.30,12.84,13.29,13.63,13.81,13.87,13.85,13.81,13.79,13.82,13.87,13.96,14.06,14.15,14.26,14.35,14.46,14.58,14.70,14.84,14.99,15.10,15.10,14.94,14.61,14.13,13.58,13.07,12.69,12.46,12.37,12.35,12.34,12.26,12.10,11.89,11.65,11.44,11.25
230,EUROPE AND NORTHERN AMERICA,1829,SDG region,1828,"721,931.47","729,341.09","737,472.86","746,095.15","755,021.27","764,109.17","773,264.12","782,435.91","791,613.53","800,814.72","810,056.13","819,321.24","828,532.35","837,538.61","846,150.04","854,237.35","861,728.35","868,672.80","875,216.74","881,576.33","887,911.23","894,269.64","900,613.08","906,910.99","913,103.08","919,146.95","925,050.38","930,841.84","936,523.62","942,098.72","947,573.65","952,932.35","958,184.02","963,388.75","968,626.93","973,947.61","979,380.64","984,885.89","990,357.00","995,645.44","1,000,643.66","1,005,328.26","1,009,729.73","1,013,861.91","1,017,756.63","1,021,447.97","1,024,939.09","1,028,251.77","1,031,465.92","1,034,683.18","1,037,984.81","1,041,387.92","1,044,898.01","1,048,566.65","1,052,449.13","1,056,575.03","1,060,972.19","1,065,607.05","1,070,369.21","1,075,105.80","1,079,700.42","1,084,101.81","1,088,318.55","1,092,365.91","1,096,282.53","1,100,090.02","1,103,793.43","1,107,357.00","1,110,715.43","1,113,783.76","1,116,505.69"
231,EUROPE,917,SDG subregion,1829,"549,328.86","554,324.51","559,694.36","565,281.96","570,969.74","576,678.76","582,371.32","588,048.22","593,743.36","599,513.23","605,406.97","611,434.04","617,536.17","623,575.13","629,367.17","634,783.19","639,761.94","644,345.49","648,636.12","652,789.65","656,919.37","661,056.10","665,163.51","669,207.97","673,132.24","676,895.46","680,497.66","683,959.54","687,285.86","690,485.02","693,566.52","696,513.45","699,330.02","702,070.43","704,807.48","707,584.19","710,422.13","713,279.28","716,056.66","718,617.28","720,858.41","722,775.86","724,390.03","725,656.79","726,529.36","726,994.43","727,020.29","726,669.42","726,141.84","725,705.44","725,558.03","725,771.94","726,312.06","727,134.24","728,149.84","729,287.88","730,546.85","731,938.56","733,416.48","734,923.39","736,413.00","737,850.65","739,225.17","740,541.88","741,818.28","743,058.98","744,268.79","745,414.76","746,419.44","747,182.82","747,636.05"
232,Eastern Europe,923,Subregion,917,"220,170.51","223,305.10","226,633.47","230,078.35","233,574.77","237,069.84","240,523.41","243,907.37","247,204.74","250,407.55","253,510.72","256,505.81","259,375.32","262,090.39","264,617.42","266,938.30","269,037.70","270,937.18","272,702.01","274,422.08","276,164.93","277,953.25","279,777.51","281,633.07","283,504.04","285,377.38","287,255.32","289,142.00","291,026.67","292,894.99","294,734.20","296,526.37","298,263.72","299,954.14","301,612.05","303,239.02","304,840.53","306,385.01","307,792.67","308,958.95","309,808.64","310,318.02","310,506.14","310,395.19","310,025.83","309,435.12","308,637.29","307,645.44","306,498.22","305,241.44","303,918.41","302,544.97","301,147.73","299,792.70","298,558.10","297,500.56","296,646.52","295,987.79","295,500.10","295,140.69","294,872.87","294,690.69","294,589.61","294,533.62","294,479.08","294,390.75","294,252.02","294,056.07","293,790.26","293,444.92","293,013.21"
233,Belarus,112,Country/Area,923,"7,745.00","7,698.81","7,677.43","7,679.69","7,703.78","7,747.22","7,806.82","7,878.77","7,958.73","8,042.11","8,124.88","8,204.34","8,279.89","8,353.29","8,427.84","8,505.72","8,587.17","8,670.57","8,754.20","8,835.74","8,913.55","8,987.03","9,056.73","9,123.45","9,188.46","9,252.78","9,316.32","9,378.92","9,441.42","9,504.86","9,569.85","9,636.15","9,703.09","9,770.13","9,836.58","9,901.49","9,965.18","10,026.47","10,081.21","10,124.00","10,151.14","10,160.79","10,154.34","10,135.13","10,108.28","10,077.61","10,044.85","10,009.39","9,969.99","9,924.44","9,871.64","9,811.40","9,745.93","9,679.24","9,616.63","9,562.08","9,516.88","9,480.51","9,452.86","9,433.16","9,420.58","9,415.32","9,417.05","9,423.50","9,431.74","9,439.42","9,445.64","9,450.23","9,452.62","9,452.41","9,449.32"
234,Bulgaria,100,Country/Area,923,"7,251.00","7,310.53","7,372.02","7,434.69","7,497.95","7,561.49","7,625.19","7,689.14","7,753.61","7,819.00","7,885.61","7,953.47","8,022.16","8,090.70","8,157.83","8,222.59","8,284.45","8,343.49","8,400.01","8,454.58","8,507.54","8,559.04","8,608.66","8,655.71","8,699.17","8,738.39","8,772.56","8,801.90","8,828.03","8,853.21","8,878.79","8,905.10","8,930.71","8,953.12","8,968.91","8,975.35","8,972.56","8,960.55","8,936.65","8,897.54","8,841.47","8,767.00","8,676.38","8,576.04","8,474.82","8,379.31","8,291.97","8,211.80","8,137.67","8,067.01","7,997.95","7,930.70","7,866.24","7,804.31","7,744.63","7,686.96","7,631.02","7,576.68","7,524.08","7,473.51","7,425.01","7,378.65","7,334.01","7,290.09","7,245.65","7,199.74","7,151.95","7,102.45","7,051.61","7,000.12","6,948.45"
235,Czechia,203,Country/Area,923,"8,902.62","9,007.00","9,110.14","9,205.97","9,290.49","9,361.78","9,420.04","9,467.56","9,508.37","9,547.67","9,590.18","9,638.39","9,691.06","9,742.46","9,784.34","9,811.38","9,821.06","9,817.11","9,807.94","9,805.32","9,817.67","9,847.22","9,891.10","9,946.19","10,007.28","10,069.96","10,134.52","10,200.73","10,262.92","10,313.96","10,349.08","10,365.52","10,365.26","10,354.10","10,340.63","10,331.14","10,327.29","10,327.47","10,330.93","10,335.88","10,340.88","10,346.46","10,353.02","10,358.69","10,360.96","10,358.19","10,350.30","10,338.35","10,323.24","10,306.40","10,289.37","10,271.02","10,252.26","10,239.13","10,239.44","10,258.17","10,298.61","10,357.54","10,425.27","10,488.16","10,536.51","10,566.51","10,581.30","10,586.53","10,591.10","10,601.39","10,618.87","10,641.03","10,665.68","10,689.21","10,708.98"
236,Hungary,348,Country/Area,923,"9,337.72","9,480.61","9,597.94","9,692.90","9,768.68","9,828.50","9,875.60","9,913.25","9,944.70","9,973.06","10,000.99","10,030.48","10,062.51","10,096.98","10,132.98","10,169.80","10,208.23","10,248.71","10,289.77","10,329.35","10,366.10","10,398.16","10,426.09","10,453.66","10,486.19","10,526.78","10,577.94","10,636.57","10,693.33","10,735.50","10,754.29","10,746.49","10,715.86","10,669.20","10,616.74","10,566.32","10,519.30","10,474.54","10,434.54","10,401.61","10,377.14","10,363.05","10,358.62","10,359.05","10,357.59","10,349.31","10,332.45","10,308.48","10,279.61","10,249.41","10,220.51","10,193.45","10,167.29","10,141.34","10,114.48","10,085.94","10,055.66","10,024.16","9,991.87","9,959.44","9,927.38","9,895.69","9,864.36","9,833.92","9,804.99","9,777.93","9,752.97","9,729.82","9,707.50","9,684.68","9,660.35"
237,Poland,616,Country/Area,923,"24,824.01","25,283.01","25,764.32","26,260.48","26,764.49","27,269.74","27,770.04","28,259.61","28,733.12","29,185.90","29,614.20","30,015.60","30,389.35","30,736.49","31,059.45","31,360.90","31,641.04","31,901.69","32,149.54","32,393.14","32,639.26","32,890.39","33,147.08","33,411.59","33,685.79","33,970.73","34,266.10","34,571.23","34,885.81","35,209.25","35,539.72","35,878.44","36,221.54","36,555.78","36,863.95","37,133.86","37,359.52","37,544.33","37,697.36","37,832.57","37,960.19","38,082.94","38,197.59","38,301.35","38,389.47","38,458.64","38,509.67","38,544.84","38,564.19","38,567.87","38,556.70","38,529.59","38,488.64","38,441.82","38,399.55","38,368.96","38,354.45","38,353.34","38,356.79","38,351.92","38,329.78","38,286.82","38,227.03","38,158.04","38,091.10","38,034.08","37,989.22","37,953.18","37,921.59","37,887.77","37,846.61"
238,Republic of Moldova,498,Country/Area,923,"2,341.01","2,381.30","2,431.89","2,490.87","2,556.46","2,627.01","2,700.98","2,776.93","2,853.57","2,929.74","3,004.45","3,076.89","3,146.55","3,213.08","3,276.43","3,336.59","3,393.05","3,445.84","3,496.13","3,545.65","3,595.55","3,646.57","3,698.23","3,749.01","3,796.77","3,840.05","3,878.10","3,911.81","3,943.33","3,975.72","4,011.09","4,049.87","4,091.13","4,133.73","4,175.93","4,216.24","4,254.53","4,290.48","4,322.34","4,347.87","4,365.56","4,375.05","4,376.80","4,371.16","4,358.79","4,340.60","4,316.23","4,286.48","4,254.84","4,225.84","4,202.66","4,187.10","4,178.23","4,173.28","4,167.96","4,159.30","4,146.26","4,130.13","4,112.89","4,097.52","4,086.09","4,079.17","4,075.80","4,074.59","4,073.41","4,070.71","4,066.01","4,059.69","4,051.95","4,043.26","4,033.96"
239,Romania,642,Country/Area,923,"16,236.29","16,512.67","16,764.91","17,005.72","17,243.81","17,483.94","17,726.63","17,968.47","18,202.72","18,420.45","18,613.95","18,780.21","18,924.15","19,059.93","19,207.14","19,379.58","19,582.33","19,810.61","20,055.98","20,305.35","20,548.91","20,783.56","21,011.15","21,232.62","21,450.41","21,665.64","21,879.08","22,087.90","22,285.51","22,463.31","22,615.64","22,737.21","22,830.55","22,907.30","22,983.96","23,071.26","23,175.06","23,288.39","23,393.74","23,466.41","23,489.16","23,456.65","23,375.83","23,256.96","23,115.81","22,964.75","22,805.71","22,637.60","22,466.29","22,298.12","22,137.42","21,989.35","21,853.28","21,720.40","21,577.89","21,417.29","21,234.31","21,034.20","20,829.52","20,638.00","20,471.86","20,336.72","20,227.47","20,132.78","20,035.93","19,925.18","19,796.28","19,653.97","19,506.11","19,364.56","19,237.68"
240,Russian Federation,643,Country/Area,923,"102,798.65","104,304.70","105,967.09","107,727.31","109,536.50","111,355.30","113,154.33","114,913.78","116,622.39","118,275.87","119,871.70","121,403.90","122,858.22","124,210.25","125,430.99","126,503.74","127,417.19","128,187.40","128,859.80","129,497.50","130,148.65","130,830.72","131,539.63","132,275.73","133,032.26","133,804.86","134,596.23","135,413.34","136,259.82","137,139.39","138,053.14","138,993.85","139,954.63","140,935.77","141,938.48","142,957.29","143,995.35","145,032.89","146,013.48","146,863.93","147,531.56","147,995.58","148,268.58","148,373.58","148,349.44","148,227.47","148,020.85","147,730.02","147,360.61","146,915.92","146,404.89","145,830.73","145,215.71","144,610.88","144,080.65","143,672.13","143,403.26","143,266.21","143,248.76","143,326.90","143,479.27","143,703.03","143,993.89","144,325.46","144,664.84","144,985.06","145,275.37","145,530.09","145,734.03","145,872.26","145,934.46"
241,Slovakia,703,Country/Area,923,"3,436.58","3,510.92","3,587.66","3,664.91","3,741.21","3,815.40","3,886.74","3,954.86","4,019.64","4,081.31","4,140.13","4,196.17","4,249.21","4,298.59","4,343.46","4,383.45","4,418.20","4,448.55","4,476.83","4,506.15","4,538.84","4,575.56","4,615.83","4,659.28","4,705.10","4,752.54","4,801.74","4,852.49","4,903.21","4,951.79","4,996.73","5,037.34","5,073.88","5,106.98","5,137.69","5,166.79","5,194.30","5,219.97","5,244.04","5,266.81","5,288.46","5,309.23","5,329.03","5,347.21","5,362.89","5,375.47","5,384.79","5,391.20","5,395.25","5,397.71","5,399.21","5,400.00","5,400.12","5,399.84","5,399.37","5,398.96","5,398.67","5,398.69","5,399.36","5,401.15","5,404.29","5,408.93","5,414.89","5,421.72","5,428.80","5,435.61","5,442.00","5,447.90","5,453.02","5,457.01","5,459.64"
242,Ukraine,804,Country/Area,923,"37,297.64","37,815.54","38,360.08","38,915.81","39,471.40","40,019.48","40,557.03","41,085.02","41,607.89","42,132.44","42,664.65","43,206.35","43,752.23","44,288.61","44,796.96","45,264.55","45,684.98","46,063.22","46,411.82","46,749.29","47,088.86","47,435.01","47,783.01","48,125.83","48,452.62","48,755.66","49,032.73","49,287.12","49,523.30","49,748.00","49,965.87","50,176.40","50,377.07","50,568.03","50,749.18","50,919.28","51,077.46","51,219.91","51,338.39","51,422.34","51,463.10","51,461.27","51,415.96","51,316.01","51,147.77","50,903.78","50,580.47","50,187.28","49,746.52","49,288.74","48,838.06","48,401.65","47,980.03","47,582.46","47,217.49","46,890.78","46,607.40","46,366.35","46,158.71","45,970.94","45,792.09","45,619.85","45,453.81","45,286.99","45,111.53","44,921.64","44,713.71","44,487.71","44,246.16","43,993.64","43,733.76"
243,Northern Europe,924,Subregion,917,"78,007.08","78,199.44","78,452.20","78,750.79","79,084.58","79,447.02","79,835.81","80,252.60","80,702.37","81,192.03","81,727.08","82,307.43","82,924.19","83,558.06","84,183.70","84,781.50","85,343.38","85,869.97","86,361.34","86,820.99","87,251.32","87,651.90","88,020.08","88,353.95","88,651.39","88,912.00","89,136.55","89,329.23","89,497.54","89,651.11","89,798.44","89,940.53","90,080.05","90,229.32","90,403.17","90,611.32","90,861.06","91,147.84","91,454.52","91,756.49","92,036.27","92,289.11","92,521.23","92,739.43","92,954.96","93,176.74","93,410.75","93,657.63","93,915.61","94,181.04","94,454.22","94,726.77","95,007.69","95,334.57","95,757.25","96,307.37","97,002.47","97,821.23","98,708.41","99,586.41","100,398.30","101,122.97","101,773.52","102,369.13","102,943.06","103,518.96","104,100.67","104,676.51","105,237.10","105,768.53","106,261.27"
244,Channel Islands,830,Country/Area,924,102.24,102.97,103.66,104.32,104.96,105.61,106.27,106.97,107.71,108.53,109.42,110.40,111.46,112.59,113.78,114.99,116.23,117.47,118.73,119.98,121.20,122.41,123.61,124.72,125.68,126.42,126.91,127.19,127.40,127.69,128.20,128.99,129.98,131.15,132.45,133.80,135.24,136.76,138.25,139.58,140.68,141.47,142.01,142.41,142.87,143.48,144.35,145.39,146.50,147.55,148.44,149.10,149.59,150.07,150.72,151.67,153.00,154.64,156.44,158.19,159.72,160.99,162.05,163.04,164.11,165.39,166.92,168.67,170.50,172.26,173.86
245,Denmark,208,Country/Area,924,"4,268.28","4,308.92","4,346.19","4,380.31","4,411.66","4,440.78","4,468.35","4,495.22","4,522.34","4,550.68","4,581.10","4,614.03","4,649.34","4,686.27","4,723.62","4,760.46","4,796.48","4,831.75","4,866.07","4,899.29","4,931.24","4,961.76","4,990.55","5,017.25","5,041.41","5,062.73","5,081.26","5,097.05","5,109.69","5,118.71","5,123.95","5,125.30","5,123.35","5,119.61","5,116.06","5,114.25","5,114.65","5,117.28","5,122.44","5,130.36","5,141.12","5,154.91","5,171.65","5,190.75","5,211.33","5,232.71","5,254.86","5,277.71","5,300.38","5,321.77","5,341.19","5,358.06","5,372.80","5,386.97","5,402.75","5,421.70","5,444.29","5,469.92","5,497.73","5,526.39","5,554.85","5,582.98","5,610.91","5,638.15","5,664.20","5,688.70","5,711.35","5,732.28","5,752.13","5,771.88","5,792.20"
246,Estonia,233,Country/Area,924,"1,101.00","1,113.24","1,125.24","1,136.91","1,148.21","1,159.23","1,170.09","1,181.02","1,192.26","1,204.11","1,216.82","1,230.50","1,245.08","1,260.22","1,275.44","1,290.41","1,304.98","1,319.25","1,333.17","1,346.82","1,360.21","1,373.30","1,386.07","1,398.47","1,410.47","1,422.05","1,433.17","1,443.89","1,454.27","1,464.42","1,474.44","1,483.88","1,492.64","1,501.42","1,511.19","1,522.41","1,536.03","1,551.21","1,564.20","1,569.97","1,565.25","1,548.22","1,520.81","1,488.06","1,457.09","1,433.03","1,417.74","1,409.68","1,406.35","1,403.78","1,399.11","1,391.74","1,382.74","1,372.90","1,363.57","1,355.65","1,349.37","1,344.30","1,340.07","1,336.14","1,332.10","1,327.70","1,323.16","1,319.07","1,316.27","1,315.33","1,316.51","1,319.39","1,322.91","1,325.65","1,326.54"
247,Faroe Islands,234,Country/Area,924,31.50,31.54,31.67,31.87,32.14,32.48,32.86,33.27,33.71,34.16,34.62,35.07,35.52,35.97,36.41,36.84,37.28,37.71,38.13,38.56,39.01,39.46,39.92,40.40,40.85,41.29,41.72,42.13,42.54,42.94,43.34,43.73,44.10,44.48,44.90,45.33,45.81,46.34,46.83,47.16,47.28,47.12,46.75,46.28,45.85,45.63,45.62,45.79,46.09,46.43,46.74,47.00,47.24,47.44,47.60,47.73,47.79,47.83,47.82,47.81,47.80,47.82,47.84,47.90,47.97,48.06,48.17,48.33,48.50,48.68,48.87
248,Finland,246,Country/Area,924,"4,008.29","4,050.49","4,096.56","4,144.31","4,191.97","4,238.27","4,282.38","4,323.92","4,362.91","4,399.67","4,434.59","4,467.76","4,498.82","4,526.74","4,550.25","4,568.60","4,581.12","4,588.66","4,594.02","4,601.03","4,612.37","4,629.37","4,651.17","4,675.45","4,698.78","4,718.74","4,734.43","4,746.93","4,758.26","4,771.34","4,788.25","4,809.81","4,835.10","4,862.17","4,888.20","4,911.22","4,930.34","4,946.37","4,961.10","4,977.12","4,996.22","5,019.13","5,044.93","5,071.78","5,097.09","5,119.01","5,136.98","5,151.74","5,164.24","5,175.92","5,187.95","5,200.48","5,213.37","5,227.11","5,242.18","5,258.93","5,277.49","5,297.74","5,319.45","5,342.27","5,365.78","5,390.04","5,414.77","5,438.98","5,461.41","5,481.13","5,497.71","5,511.37","5,522.59","5,532.16","5,540.72"
249,Iceland,352,Country/Area,924,142.66,144.94,147.71,150.81,154.16,157.64,161.20,164.79,168.40,171.99,175.58,179.18,182.71,186.13,189.35,192.32,194.99,197.41,199.67,201.97,204.42,207.10,209.93,212.80,215.57,218.08,220.28,222.27,224.15,226.10,228.26,230.67,233.27,236.02,238.82,241.59,244.34,247.06,249.76,252.42,255.04,257.62,260.16,262.65,265.14,267.63,270.14,272.71,275.29,277.87,280.44,282.91,285.33,287.96,291.10,294.98,299.73,305.18,310.86,316.06,320.34,323.47,325.64,327.19,328.59,330.24,332.21,334.40,336.71,339.04,341.25
250,Ireland,372,Country/Area,924,"2,912.68","2,912.61","2,909.05","2,901.31","2,889.28","2,873.41","2,854.78","2,835.06","2,816.35","2,801.09","2,791.39","2,788.53","2,792.38","2,801.18","2,812.23","2,823.64","2,834.68","2,846.35","2,860.73","2,880.76","2,908.43","2,944.09","2,986.57","3,034.33","3,085.16","3,137.18","3,189.87","3,242.77","3,294.16","3,342.01","3,384.76","3,422.03","3,453.79","3,479.46","3,498.54","3,510.98","3,516.42","3,515.83","3,512.18","3,509.51","3,510.88","3,517.70","3,529.85","3,546.93","3,567.92","3,592.18","3,619.63","3,651.10","3,687.82","3,731.47","3,783.10","3,842.25","3,908.00","3,980.08","4,058.13","4,141.22","4,230.62","4,324.65","4,415.87","4,494.57","4,554.33","4,591.12","4,608.20","4,615.43","4,626.85","4,652.42","4,695.79","4,753.28","4,818.69","4,882.50","4,937.80"
251,Isle of Man,833,Country/Area,924,55.25,55.22,54.85,54.21,53.37,52.41,51.40,50.43,49.57,48.88,48.44,48.29,48.42,48.80,49.40,50.15,51.05,52.12,53.25,54.38,55.43,56.35,57.17,57.92,58.67,59.48,60.37,61.34,62.26,63.03,63.55,63.78,63.77,63.70,63.81,64.28,65.20,66.48,67.93,69.26,70.29,70.93,71.26,71.43,71.66,72.13,72.88,73.85,74.94,76.00,76.94,77.71,78.32,78.88,79.52,80.29,81.28,82.41,83.52,84.38,84.86,84.89,84.53,83.99,83.49,83.23,83.30,83.61,84.07,84.59,85.03
252,Latvia,428,Country/Area,924,"1,926.57","1,934.00","1,945.96","1,961.66","1,980.40","2,001.57","2,024.68","2,049.31","2,075.18","2,102.01","2,129.58","2,157.66","2,185.87","2,213.81","2,240.95","2,266.94","2,291.47","2,314.51","2,336.32","2,357.39","2,378.02","2,398.38","2,418.28","2,437.18","2,454.40","2,469.44","2,482.20","2,492.98","2,502.52","2,511.74","2,521.38","2,531.02","2,540.44","2,550.93","2,564.12","2,580.76","2,602.15","2,626.91","2,649.84","2,663.94","2,664.45","2,649.16","2,620.25","2,582.66","2,543.63","2,508.48","2,478.83","2,453.31","2,430.55","2,408.09","2,384.15","2,358.69","2,332.53","2,305.85","2,278.92","2,252.00","2,225.06","2,198.09","2,171.25","2,144.78","2,118.86","2,093.61","2,069.02","2,044.95","2,021.22","1,997.68","1,974.27","1,951.10","1,928.46","1,906.74","1,886.20"
253,Lithuania,440,Country/Area,924,"2,567.41","2,569.62","2,578.05","2,591.37","2,608.53","2,628.75","2,651.63","2,677.01","2,704.99","2,735.87","2,769.88","2,806.92","2,846.39","2,887.07","2,927.39","2,966.17","3,002.79","3,037.46","3,070.70","3,103.51","3,136.59","3,170.08","3,203.63","3,236.74","3,268.65","3,298.88","3,327.26","3,354.07","3,379.79","3,405.17","3,430.76","3,456.14","3,481.13","3,506.55","3,533.49","3,562.40","3,594.06","3,627.33","3,658.50","3,682.56","3,696.04","3,697.45","3,688.10","3,670.65","3,649.14","3,626.61","3,603.76","3,579.91","3,555.14","3,529.19","3,501.84","3,473.62","3,444.78","3,414.37","3,381.13","3,344.26","3,303.33","3,258.98","3,212.87","3,167.27","3,123.83","3,083.40","3,045.56","3,008.94","2,971.50","2,931.87","2,889.56","2,845.42","2,801.27","2,759.63","2,722.29"
254,Norway,578,Country/Area,924,"3,265.27","3,300.75","3,334.48","3,367.05","3,398.91","3,430.34","3,461.52","3,492.45","3,523.05","3,553.13","3,582.51","3,611.14","3,639.21","3,667.11","3,695.42","3,724.46","3,754.35","3,784.87","3,815.64","3,846.18","3,876.05","3,905.27","3,933.73","3,960.81","3,985.74","4,008.03","4,027.48","4,044.34","4,059.19","4,072.88","4,086.07","4,098.97","4,111.65","4,124.59","4,138.27","4,153.11","4,169.32","4,186.97","4,205.96","4,226.12","4,247.29","4,269.47","4,292.69","4,316.79","4,341.62","4,367.00","4,393.22","4,420.27","4,447.49","4,474.01","4,499.38","4,523.14","4,546.02","4,570.10","4,598.21","4,632.36","4,672.99","4,719.40","4,771.01","4,826.85","4,885.88","4,948.34","5,013.72","5,079.46","5,142.27","5,199.83","5,250.95","5,296.32","5,337.96","5,378.86","5,421.24"
255,Sweden,752,Country/Area,924,"7,009.91","7,073.23","7,127.52","7,175.67","7,220.06","7,262.63","7,304.77","7,347.48","7,391.24","7,436.26","7,482.54","7,530.18","7,579.57","7,631.45","7,686.74","7,745.68","7,809.09","7,875.90","7,942.31","8,003.19","8,054.91","8,095.80","8,127.05","8,151.60","8,173.96","8,197.34","8,223.25","8,250.69","8,277.42","8,300.00","8,316.33","8,325.49","8,329.43","8,332.44","8,340.44","8,357.65","8,384.99","8,421.06","8,464.79","8,514.20","8,567.38","8,625.14","8,686.74","8,746.77","8,798.24","8,836.42","8,859.18","8,868.86","8,870.85","8,873.11","8,881.64","8,897.80","8,920.70","8,951.44","8,990.65","9,038.63","9,096.17","9,162.94","9,236.43","9,313.09","9,390.16","9,466.71","9,542.82","9,618.02","9,692.14","9,764.95","9,836.00","9,904.90","9,971.63","10,036.39","10,099.27"
256,United Kingdom,826,Country/Area,924,"50,616.02","50,601.93","50,651.27","50,750.98","50,890.91","51,063.91","51,265.89","51,495.70","51,754.67","52,045.66","52,370.60","52,727.76","53,109.40","53,500.72","53,882.75","54,240.86","54,568.87","54,866.53","55,132.60","55,367.95","55,573.46","55,748.53","55,892.41","56,006.29","56,092.06","56,152.33","56,188.35","56,203.60","56,205.91","56,205.09","56,209.16","56,220.74","56,241.41","56,276.79","56,332.90","56,413.56","56,522.51","56,658.26","56,812.75","56,974.29","57,134.38","57,290.79","57,446.04","57,602.28","57,763.38","57,932.45","58,113.55","58,307.32","58,509.97","58,715.86","58,923.31","59,124.28","59,326.29","59,561.43","59,872.76","60,287.95","60,821.35","61,455.15","62,145.10","62,828.62","63,459.80","64,021.92","64,525.30","64,984.02","65,423.05","65,860.15","66,297.94","66,727.46","67,141.68","67,530.16","67,886.00"
257,Southern Europe,925,Subregion,917,"108,737.29","109,656.86","110,601.81","111,545.21","112,469.44","113,365.96","114,236.16","115,090.63","115,947.61","116,830.64","117,760.62","118,747.88","119,784.96","120,843.52","121,883.08","122,876.34","123,809.20","124,695.81","125,571.36","126,486.28","127,475.18","128,546.22","129,682.39","130,862.24","132,053.45","133,229.27","134,384.10","135,515.21","136,602.15","137,621.27","138,555.09","139,394.73","140,140.89","140,798.10","141,376.14","141,883.58","142,321.14","142,690.11","143,001.50","143,269.00","143,503.83","143,723.68","143,933.67","144,118.58","144,254.58","144,332.48","144,332.77","144,282.73","144,275.64","144,435.94","144,846.71","145,541.89","146,477.65","147,562.18","148,662.44","149,676.17","150,579.04","151,382.87","152,066.06","152,613.09","153,015.52","153,254.96","153,333.81","153,292.25","153,188.22","153,064.87","152,936.83","152,796.35","152,637.57","152,446.95","152,215.24"
258,Albania,8,Country/Area,925,"1,263.16","1,287.50","1,316.09","1,348.11","1,382.90","1,419.99","1,459.12","1,500.18","1,543.26","1,588.51","1,636.09","1,685.93","1,737.68","1,790.57","1,843.65","1,896.18","1,947.84","1,998.74","2,049.21","2,099.74","2,150.70","2,202.19","2,254.06","2,306.28","2,358.85","2,411.73","2,464.98","2,518.69","2,572.85","2,627.51","2,682.70","2,737.02","2,790.28","2,844.87","2,904.14","2,969.67","3,044.20","3,124.89","3,200.97","3,257.91","3,286.07","3,280.40","3,245.89","3,195.20","3,146.52","3,112.92","3,098.70","3,099.75","3,110.70","3,122.70","3,129.25","3,129.70","3,126.18","3,118.02","3,104.89","3,086.81","3,063.02","3,033.99","3,002.68","2,973.04","2,948.03","2,928.60","2,914.09","2,903.79","2,896.31","2,890.52","2,886.43","2,884.17","2,882.74","2,880.91","2,877.80"
259,Andorra,20,Country/Area,925,6.20,6.69,7.25,7.86,8.53,9.23,9.98,10.78,11.61,12.50,13.41,14.38,15.38,16.41,17.47,18.54,19.65,20.76,21.89,23.05,24.28,25.57,26.89,28.23,29.52,30.71,31.78,32.77,33.74,34.83,36.06,37.50,39.12,40.85,42.71,44.59,46.52,48.46,50.43,52.45,54.51,56.67,58.88,60.97,62.68,63.86,64.36,64.32,64.14,64.37,65.39,67.34,70.05,73.18,76.25,78.87,81.00,82.68,83.86,84.46,84.45,83.75,82.43,80.77,79.21,77.99,77.30,77.00,77.01,77.15,77.27
